YEAR,MAKE,ENGINE_SIZE,CYLINDERS,FUEL,FUEL_CONSUMPTION,HWY_L_PER_100KM,COMB_L_PER_100KM,COMB_MPG,CO2_EMISSIONS,BROAD_VEHICLE_CLASS,TRANSMISSION_GROUP
2020,Toyota,5.7,8.0,Regular_gasoline,17.7,13.6,15.9,18.0,371.0,pick_up_truck,Advanced Automatic
2017,BMW,3.0,6.0,Premium_gasoline,11.9,8.1,10.2,28.0,238.0,large_car,Advanced Automatic
2018,Audi,4.0,8.0,Premium_gasoline,15.0,10.0,12.8,22.0,298.0,medium_car,Automated Manual
2004,BMW,2.5,6.0,Premium_gasoline,11.7,7.4,9.8,29.0,225.0,small_car,Manual
2005,BMW,2.5,6.0,Premium_gasoline,14.1,9.2,11.9,24.0,274.0,other,Basic Automatic
2016,BMW,3.0,6.0,Premium_gasoline,13.0,9.7,11.5,25.0,269.0,other,Advanced Automatic
2021,Toyota,2.0,4.0,Premium_gasoline,9.4,7.3,8.4,34.0,197.0,other,Advanced Automatic
2019,Audi,2.0,4.0,Regular_gasoline,10.3,7.7,9.2,31.0,213.0,small_car,Automated Manual
2014,BMW,3.0,6.0,Premium_gasoline,11.4,7.4,9.6,29.0,221.0,other,Standard Automatic
2020,Ford,2.3,4.0,Regular_gasoline,11.6,8.7,10.3,27.0,241.0,other,Advanced Automatic
2018,Ford,2.7,6.0,Regular_gasoline,13.1,10.2,11.8,24.0,277.0,pick_up_truck,Advanced Automatic
2011,BMW,4.4,8.0,Premium_gasoline,17.1,11.9,14.8,19.0,340.0,other,Standard Automatic
2022,Ford,2.0,4.0,Regular_gasoline,10.0,8.3,9.2,31.0,216.0,other,Advanced Automatic
2008,BMW,2.5,6.0,Premium_gasoline,11.2,6.7,9.2,31.0,212.0,small_car,Standard Automatic
2018,Mercedes-Benz,3.0,6.0,Premium_gasoline,13.1,10.1,11.8,24.0,277.0,other,Advanced Automatic
2004,BMW,3.0,6.0,Premium_gasoline,14.9,10.4,12.9,22.0,297.0,other,Standard Automatic
2021,Volkswagen,2.0,4.0,Regular_gasoline,9.7,7.0,8.5,33.0,198.0,small_car,Manual
2022,Toyota,2.5,4.0,Regular_gasoline,6.8,6.6,6.7,42.0,158.0,other,CVT
2022,Mercedes-Benz,2.0,4.0,Premium_gasoline,12.3,9.6,11.1,25.0,260.0,small_car,Automated Manual
2013,BMW,4.4,8.0,Premium_gasoline,14.4,9.2,12.1,23.0,278.0,small_car,Manual
2021,Ford,5.0,8.0,Regular_gasoline,15.3,9.8,12.8,22.0,300.0,small_car,Advanced Automatic
2019,Porsche,3.0,6.0,Premium_gasoline,12.9,10.2,11.7,24.0,272.0,other,Automated Manual
2021,Audi,3.0,6.0,Premium_gasoline,13.4,10.4,12.0,24.0,281.0,other,Advanced Automatic
2012,BMW,3.0,6.0,Premium_gasoline,9.7,6.6,8.3,34.0,191.0,medium_car,Standard Automatic
2016,BMW,4.4,8.0,Premium_gasoline,14.3,9.3,12.1,23.0,283.0,small_car,Advanced Automatic
2019,Honda,2.0,4.0,Regular_gasoline,9.3,6.5,8.0,35.0,186.0,medium_car,Manual
2018,Subaru,2.5,4.0,Regular_gasoline,9.2,7.4,8.4,34.0,196.0,other,CVT
2008,BMW,3.0,6.0,Premium_gasoline,13.5,8.5,11.2,25.0,258.0,medium_car,Manual
2022,Volkswagen,3.6,6.0,Regular_gasoline,13.8,10.2,12.2,23.0,286.0,other,Advanced Automatic
2007,BMW,3.0,6.0,Premium_gasoline,11.7,7.9,10.0,28.0,230.0,medium_car,Standard Automatic
2018,Ford,3.3,6.0,Regular_gasoline,12.3,9.3,10.9,26.0,257.0,pick_up_truck,Advanced Automatic
2021,Audi,4.0,8.0,Premium_gasoline,16.0,10.5,13.5,21.0,315.0,medium_car,Advanced Automatic
2020,Ford,2.7,6.0,Regular_gasoline,12.5,9.2,11.0,26.0,258.0,other,Advanced Automatic
2008,BMW,3.0,6.0,Premium_gasoline,12.4,7.7,10.3,27.0,237.0,small_car,Manual
2018,Jaguar,3.0,6.0,Premium_gasoline,13.0,9.2,11.3,25.0,265.0,other,Advanced Automatic
2007,BMW,3.0,6.0,Premium_gasoline,11.7,7.2,9.7,29.0,222.0,medium_car,Manual
2021,Mercedes-Benz,2.0,4.0,Premium_gasoline,11.3,8.5,10.0,28.0,235.0,other,Advanced Automatic
2020,Audi,2.0,4.0,Premium_gasoline,10.0,7.4,8.8,32.0,206.0,small_car,Automated Manual
2018,Volvo,2.0,4.0,Regular_gasoline,11.0,8.1,9.7,29.0,226.0,small_car,Advanced Automatic
2012,BMW,3.0,6.0,Premium_gasoline,10.8,7.0,9.1,31.0,209.0,small_car,Manual
2019,Mercedes-Benz,3.0,6.0,Premium_gasoline,12.7,9.2,11.2,25.0,263.0,small_car,Advanced Automatic
2011,BMW,3.0,6.0,Premium_gasoline,12.3,7.6,10.2,28.0,235.0,small_car,Manual
2019,Jaguar,2.0,4.0,Premium_gasoline,10.2,7.8,9.2,31.0,215.0,other,Advanced Automatic
2016,BMW,3.0,6.0,Premium_gasoline,10.9,7.3,9.3,30.0,216.0,small_car,Advanced Automatic
2020,Hyundai,2.5,4.0,Regular_gasoline,8.8,6.4,7.7,37.0,182.0,large_car,Advanced Automatic
2022,Toyota,2.5,4.0,Regular_gasoline,5.8,6.3,6.0,47.0,140.0,other,CVT
2021,Mercedes-Benz,4.0,8.0,Premium_gasoline,14.7,10.4,12.8,22.0,300.0,medium_car,Advanced Automatic
2018,Volvo,2.0,4.0,Premium_gasoline,10.9,8.0,9.6,29.0,224.0,medium_car,Advanced Automatic
2018,Honda,1.5,4.0,Regular_gasoline,7.6,6.5,7.0,40.0,166.0,small_car,CVT
2013,BMW,3.0,6.0,Premium_gasoline,9.8,6.6,8.4,34.0,193.0,medium_car,Standard Automatic
2022,Ford,2.3,4.0,Regular_gasoline,11.7,8.6,10.3,27.0,242.0,other,Advanced Automatic
2005,BMW,3.0,6.0,Premium_gasoline,11.7,7.3,9.7,29.0,223.0,small_car,Manual
2022,Porsche,2.9,6.0,Premium_gasoline,13.8,10.2,12.2,23.0,289.0,large_car,Automated Manual
2012,BMW,4.4,8.0,Premium_gasoline,13.5,8.3,11.1,25.0,255.0,small_car,Standard Automatic
2009,BMW,3.0,6.0,Premium_gasoline,11.9,7.6,10.0,28.0,230.0,small_car,Standard Automatic
2020,Ford,3.5,6.0,Regular_gasoline,14.3,10.7,12.7,22.0,298.0,pick_up_truck,Advanced Automatic
2018,Volvo,2.0,4.0,Premium_gasoline,10.6,7.6,9.3,30.0,216.0,medium_car,Advanced Automatic
2017,BMW,3.0,6.0,Premium_gasoline,11.9,8.1,10.2,28.0,238.0,small_car,Advanced Automatic
2021,Volvo,2.0,4.0,Premium_gasoline,10.0,6.8,8.6,33.0,200.0,small_car,Advanced Automatic
2018,Mercedes-Benz,3.0,6.0,Premium_gasoline,11.8,8.8,10.4,27.0,244.0,small_car,Advanced Automatic
