iter	RMSE
0	48.89712734
1	46.82410517
2	44.86114804
3	43.01742849
4	41.29872292
5	39.61619533
6	37.9256805
7	36.405316
8	34.94855175
9	33.59161613
10	32.22753443
11	30.97547861
12	29.70805481
13	28.52656738
14	27.33700791
15	26.29546802
16	25.30028569
17	24.29272015
18	23.27578269
19	22.4028701
20	21.49942087
21	20.73484742
22	19.98914798
23	19.27891097
24	18.55030401
25	17.90521231
26	17.22474942
27	16.55976069
28	15.90860976
29	15.29147513
30	14.7432368
31	14.20418544
32	13.70559078
33	13.1867481
34	12.7632298
35	12.31463527
36	11.87882848
37	11.50581663
38	11.11598243
39	10.78881928
40	10.42129896
41	10.09875366
42	9.75619048
43	9.439184022
44	9.14329914
45	8.831162613
46	8.54046957
47	8.290093141
48	8.021087169
49	7.78864215
50	7.557020266
51	7.331040468
52	7.122717762
53	6.94260449
54	6.773559211
55	6.589891283
56	6.411090157
57	6.243378671
58	6.076759652
59	5.921773236
60	5.780429703
61	5.646995311
62	5.502732908
63	5.375695456
64	5.264092295
65	5.161994799
66	5.056430766
67	4.954716211
68	4.859517051
69	4.774071137
70	4.687919994
71	4.589509384
72	4.500179937
73	4.418317797
74	4.344007947
75	4.272846182
76	4.201152717
77	4.136435818
78	4.078029231
79	4.018346463
80	3.974835656
81	3.926279423
82	3.877983361
83	3.833041329
84	3.788221916
85	3.748330822
86	3.706710023
87	3.679187153
88	3.633173538
89	3.595022532
90	3.558659079
91	3.535343674
92	3.505335526
93	3.496978977
94	3.475342272
95	3.462811885
96	3.433159486
97	3.427328096
98	3.406181628
99	3.378654027
100	3.373224106
101	3.364095878
102	3.343304725
103	3.324908753
104	3.31468771
105	3.297041847
106	3.276008716
107	3.258227611
108	3.24485927
109	3.22246911
110	3.212947247
111	3.18630151
112	3.182324253
113	3.168415976
114	3.148998658
115	3.145767517
116	3.129231693
117	3.10670557
118	3.097939844
119	3.094086366
120	3.07721718
121	3.062359884
122	3.052208464
123	3.032619744
124	3.015425027
125	3.012821528
126	3.008919391
127	3.006552464
128	2.992693042
129	2.98998186
130	2.978791791
131	2.967422566
132	2.946395469
133	2.944173896
134	2.930454368
135	2.927989831
136	2.923374603
137	2.919524305
138	2.905408991
139	2.903204353
140	2.892697075
141	2.876198686
142	2.863982291
143	2.855609545
144	2.853967933
145	2.842422863
146	2.837523035
147	2.828725518
148	2.8224212
149	2.820345391
150	2.813118515
151	2.805575891
152	2.804122039
153	2.792065511
154	2.777005721
155	2.773779324
156	2.772443526
157	2.763054984
158	2.749800111
159	2.7388113
160	2.726103184
161	2.723600226
162	2.71260382
163	2.711088762
164	2.709716991
165	2.696968696
166	2.689054514
167	2.683828875
168	2.671248115
169	2.669979812
170	2.665850614
171	2.664771386
172	2.663248113
173	2.649631952
174	2.636775299
175	2.625601377
176	2.622347212
177	2.61455686
178	2.612004568
179	2.604171408
180	2.595080455
181	2.585157235
182	2.577623499
183	2.575645492
184	2.564771957
185	2.562682053
186	2.560575858
187	2.552433036
188	2.543979186
189	2.543378753
190	2.536679578
191	2.531218856
192	2.52347115
193	2.512932016
194	2.500021623
195	2.497143512
196	2.492313874
197	2.487421945
198	2.479467721
199	2.469089523
200	2.456027648
201	2.447832649
202	2.444169046
203	2.435553383
204	2.430619402
205	2.421652308
206	2.415128647
207	2.407232705
208	2.403134481
209	2.396652753
210	2.392741513
211	2.383537284
212	2.374178728
213	2.368605945
214	2.364278892
215	2.355759361
216	2.347163081
217	2.339159305
218	2.334593646
219	2.327078267
220	2.321318962
221	2.316229117
222	2.310817024
223	2.305931794
224	2.30389425
225	2.295040414
226	2.288835417
227	2.282199103
228	2.277910024
229	2.269742724
230	2.263481323
231	2.256174418
232	2.251625463
233	2.244151096
234	2.23882638
235	2.232802122
236	2.227323405
237	2.219559617
238	2.212795735
239	2.206702052
240	2.202485512
241	2.198918045
242	2.191932734
243	2.186588749
244	2.182096665
245	2.176464816
246	2.169861154
247	2.162975484
248	2.158580956
249	2.148208696
250	2.139905477
251	2.133455124
252	2.12885249
253	2.124967086
254	2.121330681
255	2.118035241
256	2.112829487
257	2.105390696
258	2.101667553
259	2.096485169
260	2.091930246
261	2.084914801
262	2.0812486
263	2.078289904
264	2.071563521
265	2.064986874
266	2.056615519
267	2.05359529
268	2.050826438
269	2.047482181
270	2.043060826
271	2.040515497
272	2.035295836
273	2.032824669
274	2.02814494
275	2.024666557
276	2.022456187
277	2.017013828
278	2.013833409
279	2.008106083
280	2.002633004
281	1.997463065
282	1.994838306
283	1.987839688
284	1.985804415
285	1.97935059
286	1.97411966
287	1.968172901
288	1.966528342
289	1.962715087
290	1.957791717
291	1.954922038
292	1.952079794
293	1.946379339
294	1.943552559
295	1.941413869
296	1.938121123
297	1.933173396
298	1.926949326
299	1.92150448
300	1.916233835
301	1.911961066
302	1.910110765
303	1.906227981
304	1.90450323
305	1.900469079
306	1.8985436
307	1.894428772
308	1.892011228
309	1.888611196
310	1.884732452
311	1.880342902
312	1.878373877
313	1.874273533
314	1.871069697
315	1.869172941
316	1.86705052
317	1.864912809
318	1.862935288
319	1.85823663
320	1.856795019
321	1.852756936
322	1.849465051
323	1.845954498
324	1.842421172
325	1.837772575
326	1.83495411
327	1.830540372
328	1.826864312
329	1.825643988
330	1.820823323
331	1.819781855
332	1.816398889
333	1.814920922
334	1.813962732
335	1.811810301
336	1.809822196
337	1.805359761
338	1.800552648
339	1.796779188
340	1.795813994
341	1.793090578
342	1.789203878
343	1.787975933
344	1.784315115
345	1.781036366
346	1.77722331
347	1.773717639
348	1.770038852
349	1.766957695
350	1.763588064
351	1.761105833
352	1.757415115
353	1.754395784
354	1.753029183
355	1.75203534
356	1.748849072
357	1.746440108
358	1.743799117
359	1.740772124
360	1.738040846
361	1.735143938
362	1.731731761
363	1.729308044
364	1.725947703
365	1.72280172
366	1.720187249
367	1.719190075
368	1.718106858
369	1.716566264
370	1.714287321
371	1.71274339
372	1.710248578
373	1.706179872
374	1.703296639
375	1.701241193
376	1.700054905
377	1.699314404
378	1.695775743
379	1.693067674
380	1.689732757
381	1.687137036
382	1.685950489
383	1.682027562
384	1.679576863
385	1.676033005
386	1.673062042
387	1.671141905
388	1.66981003
389	1.667444911
390	1.664728055
391	1.661746126
392	1.660600566
393	1.658483197
394	1.657617627
395	1.65567822
396	1.653328665
397	1.650652096
398	1.647405543
399	1.646750418
400	1.643974124
401	1.641480801
402	1.6402857
403	1.639116846
404	1.636672067
405	1.634807719
406	1.632977296
407	1.629862642
408	1.626958336
409	1.625924543
410	1.623223391
411	1.620394179
412	1.618554755
413	1.61622261
414	1.613764356
415	1.612399412
416	1.610476015
417	1.608539198
418	1.606773575
419	1.604794437
420	1.604194211
421	1.603638387
422	1.603117206
423	1.601129379
424	1.598405431
425	1.597140685
426	1.594766696
427	1.592646134
428	1.590051793
429	1.588802511
430	1.587609512
431	1.585217681
432	1.583770291
433	1.582636812
434	1.582212132
435	1.579665486
436	1.577646328
437	1.575736926
438	1.572981775
439	1.571458766
440	1.569221757
441	1.568393586
442	1.565869209
443	1.565279403
444	1.564091659
445	1.563569842
446	1.562229782
447	1.560568747
448	1.557838443
449	1.555290204
450	1.552685647
451	1.550640262
452	1.549330661
453	1.547591636
454	1.545584913
455	1.54216616
456	1.540029568
457	1.538333966
458	1.537783347
459	1.536096558
460	1.534427241
461	1.533461657
462	1.53180332
463	1.530028164
464	1.527422131
465	1.525400583
466	1.523210131
467	1.522729327
468	1.521320878
469	1.519666511
470	1.517237476
471	1.515745232
472	1.515058266
473	1.514696817
474	1.512836439
475	1.510308644
476	1.508759051
477	1.507586428
478	1.506840789
479	1.50520209
480	1.503474129
481	1.502176938
482	1.500725408
483	1.498840461
484	1.49793085
485	1.497803589
486	1.496161763
487	1.494593666
488	1.492454579
489	1.490336337
490	1.488966175
491	1.487179228
492	1.486762686
493	1.485308752
494	1.48356316
495	1.481616286
496	1.479742873
497	1.477489758
498	1.475495974
499	1.474881003
500	1.474471183
501	1.472684696
502	1.470895608
503	1.469616761
504	1.468313905
505	1.467420425
506	1.466144019
507	1.464149802
508	1.463581519
509	1.462134068
510	1.461464291
511	1.460220176
512	1.459157211
513	1.458607859
514	1.457895679
515	1.456608105
516	1.455016805
517	1.453549455
518	1.45107357
519	1.449797874
520	1.447422171
521	1.446105161
522	1.445105068
523	1.444731958
524	1.444173451
525	1.442796009
526	1.441680575
527	1.440242549
528	1.438932765
529	1.438020609
530	1.436465118
531	1.435243486
532	1.434706613
533	1.433510981
534	1.432826547
535	1.432486678
536	1.430667393
537	1.429079529
538	1.427284654
539	1.425314748
540	1.424126456
541	1.422849976
542	1.421604567
543	1.421178209
544	1.420688692
545	1.41913901
546	1.41825962
547	1.417800395
548	1.416822162
549	1.415524761
550	1.414602091
551	1.41374025
552	1.412758823
553	1.410924228
554	1.410496738
555	1.409448902
556	1.408039951
557	1.406803084
558	1.406550791
559	1.40438205
560	1.402777064
561	1.402292263
562	1.4016428
563	1.400558501
564	1.399451769
565	1.398202052
566	1.396459406
567	1.395840116
568	1.393931925
569	1.39258337
570	1.391269669
571	1.39093865
572	1.390826594
573	1.390050494
574	1.388904281
575	1.388241461
576	1.387165048
577	1.386474757
578	1.386383523
579	1.386140973
580	1.384662825
581	1.383937036
582	1.383045245
583	1.382632569
584	1.381642996
585	1.380210495
586	1.379270784
587	1.378402135
588	1.378011867
589	1.376451614
590	1.375334134
591	1.375062157
592	1.374387549
593	1.37295003
594	1.37119967
595	1.370672493
596	1.370304648
597	1.36963277
598	1.368838609
599	1.368738679
600	1.367220079
601	1.36605515
602	1.364860145
603	1.363178593
604	1.362815418
605	1.361154739
606	1.359050526
607	1.357753747
608	1.356480606
609	1.354965756
610	1.354388559
611	1.353912207
612	1.35249736
613	1.351475615
614	1.351108986
615	1.349601523
616	1.348208866
617	1.347718983
618	1.346262344
619	1.346167406
620	1.345381359
621	1.34410709
622	1.34353376
623	1.343054236
624	1.342650622
625	1.340962242
626	1.33998654
627	1.339609214
628	1.338997783
629	1.33781695
630	1.337349385
631	1.336998754
632	1.335777839
633	1.33518338
634	1.334393146
635	1.333499283
636	1.332874918
637	1.332566399
638	1.331177539
639	1.330135718
640	1.328933019
641	1.327651635
642	1.327350752
643	1.325426478
644	1.324410563
645	1.323520156
646	1.322834299
647	1.321145124
648	1.319908291
649	1.318850589
650	1.318247248
651	1.317101027
652	1.31635155
653	1.316266709
654	1.316184351
655	1.315937658
656	1.314996986
657	1.313939328
658	1.3132939
659	1.311987472
660	1.310991612
661	1.30978828
662	1.309001544
663	1.307764772
664	1.306569731
665	1.306317173
666	1.305709609
667	1.304427353
668	1.303659796
669	1.303441792
670	1.302615908
671	1.301692778
672	1.300796911
673	1.300733742
674	1.300011813
675	1.299140128
676	1.299065281
677	1.298487675
678	1.297680004
679	1.296910247
680	1.2952863
681	1.294347688
682	1.293541477
683	1.29308751
684	1.292200748
685	1.291240075
686	1.290692607
687	1.29038446
688	1.289021377
689	1.28795628
690	1.286213206
691	1.284910274
692	1.283883989
693	1.283451786
694	1.283408594
695	1.283047526
696	1.282046718
697	1.281089022
698	1.280456208
699	1.279629127
700	1.279107465
701	1.278462594
702	1.277962849
703	1.276882228
704	1.276460698
705	1.275214273
706	1.274550193
707	1.273868745
708	1.273023202
709	1.272584288
710	1.271930827
711	1.270843931
712	1.27025438
713	1.268817131
714	1.268037556
715	1.267809507
716	1.267448191
717	1.266432553
718	1.265938821
719	1.265076931
720	1.26486435
721	1.263817501
722	1.26369261
723	1.262093763
724	1.261409207
725	1.260369116
726	1.258831501
727	1.258011517
728	1.257498608
729	1.257081598
730	1.256296478
731	1.255708237
732	1.25528863
733	1.255069695
734	1.254142614
735	1.253496629
736	1.252471212
737	1.251573401
738	1.2506057
739	1.250234892
740	1.249149985
741	1.248801849
742	1.248654368
743	1.248390155
744	1.247476716
745	1.247215346
746	1.246243097
747	1.245481606
748	1.24509181
749	1.244398056
750	1.243287995
751	1.242971209
752	1.242368669
753	1.241731152
754	1.240969049
755	1.24029384
756	1.239162501
757	1.238256254
758	1.23750935
759	1.237250026
760	1.236921895
761	1.235935075
762	1.235150868
763	1.234732907
764	1.234227158
765	1.232780094
766	1.232074858
767	1.23183713
768	1.231356618
769	1.230900037
770	1.230793079
771	1.230690112
772	1.230457999
773	1.23036136
774	1.229801458
775	1.229598757
776	1.22889888
777	1.228138031
778	1.226842529
779	1.22552983
780	1.224890114
781	1.224147986
782	1.223671695
783	1.2229911
784	1.222130553
785	1.221135
786	1.220100399
787	1.219936912
788	1.219368782
789	1.21880714
790	1.21837804
791	1.217765787
792	1.217029156
793	1.216395066
794	1.215931388
795	1.215520822
796	1.214779564
797	1.214038753
798	1.213673544
799	1.212772675
800	1.211928025
801	1.211615343
802	1.210540944
803	1.209885808
804	1.20915564
805	1.20867936
806	1.208261936
807	1.207298374
808	1.206264858
809	1.206173719
810	1.205962763
811	1.205283382
812	1.204743169
813	1.203452239
814	1.202397634
815	1.201851611
816	1.200781275
817	1.199916788
818	1.198547453
819	1.198402742
820	1.197393921
821	1.196681677
822	1.196379464
823	1.195939902
824	1.195042887
825	1.194630588
826	1.193472003
827	1.193049266
828	1.19243053
829	1.19205538
830	1.191691656
831	1.191140413
832	1.190797689
833	1.19075681
834	1.190470319
835	1.190423593
836	1.189686337
837	1.189357245
838	1.188924853
839	1.188166198
840	1.188135571
841	1.187445652
842	1.186998529
843	1.185929899
844	1.185047713
845	1.184155615
846	1.183677636
847	1.182777709
848	1.18203278
849	1.181287772
850	1.180930779
851	1.179671792
852	1.179365443
853	1.178731758
854	1.177837179
855	1.177353547
856	1.176823777
857	1.175947806
858	1.17562286
859	1.175502476
860	1.175210746
861	1.174439039
862	1.173885242
863	1.173495037
864	1.173232383
865	1.172925425
866	1.172272101
867	1.171385701
868	1.170783116
869	1.16985505
870	1.16937841
871	1.16917662
872	1.168416288
873	1.167917678
874	1.16764411
875	1.166925609
876	1.16600875
877	1.165422221
878	1.164932933
879	1.164334987
