iter	Passed	Remaining
0	164	164252
1	171	85551
2	178	59430
3	185	46200
4	192	38270
5	199	33004
6	205	29173
7	212	26357
8	218	24062
9	225	22307
10	231	20812
11	237	19544
12	244	18535
13	250	17642
14	257	16883
15	263	16206
16	270	15616
17	274	14991
18	279	14424
19	284	13923
20	288	13458
21	292	13001
22	295	12560
23	299	12171
24	303	11835
25	307	11517
26	311	11220
27	314	10930
28	318	10650
29	321	10387
30	324	10135
31	326	9888
32	329	9667
33	333	9465
34	336	9267
35	339	9085
36	342	8909
37	345	8743
38	348	8579
39	350	8423
40	353	8266
41	355	8115
42	357	7960
43	359	7816
44	361	7681
45	363	7547
46	366	7424
47	368	7302
48	370	7183
49	372	7074
50	374	6964
51	382	6966
52	384	6863
53	386	6766
54	388	6672
55	390	6580
56	392	6494
57	394	6408
58	396	6322
59	398	6240
60	400	6162
61	402	6085
62	404	6012
63	406	5946
64	408	5881
65	410	5815
66	413	5752
67	415	5690
68	417	5631
69	419	5575
70	421	5516
71	423	5462
72	425	5407
73	427	5353
74	429	5301
75	431	5247
76	433	5197
77	435	5148
78	437	5102
79	439	5059
80	441	5012
81	443	4969
82	445	4927
83	447	4884
84	449	4843
85	451	4802
86	454	4765
87	456	4727
88	458	4693
89	460	4657
90	463	4626
91	465	4591
92	467	4557
93	469	4523
94	471	4491
95	473	4460
96	475	4430
97	477	4395
98	479	4363
99	481	4333
100	482	4295
101	484	4265
102	486	4234
103	488	4205
104	490	4177
105	492	4151
106	494	4123
107	495	4096
108	497	4065
109	499	4042
110	501	4016
111	503	3991
112	505	3965
113	506	3940
114	508	3916
115	509	3886
116	512	3864
117	513	3840
118	515	3816
119	516	3790
120	518	3769
121	521	3750
122	523	3730
123	525	3710
124	527	3689
125	528	3664
126	529	3641
127	531	3617
128	533	3599
129	534	3577
130	536	3560
131	538	3542
132	540	3526
133	542	3505
134	544	3490
135	546	3471
136	548	3456
137	550	3436
138	552	3421
139	553	3403
140	555	3387
141	558	3373
142	560	3359
143	562	3345
144	564	3325
145	566	3313
146	568	3299
147	570	3284
148	572	3270
149	573	3252
150	575	3233
151	577	3221
152	578	3201
153	580	3188
154	582	3175
155	584	3163
156	585	3145
157	587	3132
158	590	3121
159	592	3109
160	594	3096
161	601	3113
162	603	3100
163	604	3083
164	606	3067
165	608	3056
166	610	3046
167	613	3036
168	615	3027
169	617	3013
170	619	3002
171	620	2987
172	623	2978
173	625	2970
174	628	2961
175	630	2952
176	632	2939
177	634	2929
178	635	2915
179	638	2906
180	640	2899
181	643	2891
182	645	2881
183	646	2867
184	648	2857
185	649	2843
186	650	2830
187	653	2820
188	655	2812
189	656	2797
190	658	2789
191	660	2781
192	662	2772
193	665	2763
194	667	2754
195	668	2742
196	671	2735
197	673	2727
198	675	2720
199	678	2713
200	680	2705
201	682	2697
202	684	2688
203	687	2682
204	689	2674
205	691	2666
206	694	2659
207	696	2651
208	698	2643
209	700	2636
210	703	2628
211	705	2621
212	707	2614
213	710	2608
214	712	2601
215	714	2593
216	716	2586
217	719	2579
218	721	2572
219	723	2565
220	726	2562
221	729	2555
222	731	2549
223	734	2543
224	736	2535
225	738	2528
226	740	2521
227	742	2514
228	744	2507
229	746	2500
230	749	2494
231	751	2487
232	753	2481
233	756	2475
234	758	2468
235	760	2461
236	762	2454
237	764	2449
238	767	2443
239	769	2437
240	771	2430
241	773	2424
242	776	2418
243	778	2411
244	780	2405
245	783	2401
246	786	2397
247	788	2391
248	791	2386
249	793	2380
250	795	2374
251	799	2371
252	801	2367
253	804	2361
254	806	2356
255	808	2350
256	810	2344
257	813	2339
258	815	2334
259	818	2328
260	820	2322
261	822	2316
262	824	2311
263	830	2314
264	832	2308
265	834	2303
266	837	2298
267	839	2292
268	841	2286
269	843	2281
270	846	2276
271	848	2270
272	850	2265
273	852	2259
274	854	2253
275	856	2247
276	859	2242
277	861	2237
278	863	2232
279	866	2227
280	868	2222
281	870	2217
282	873	2212
283	875	2207
284	877	2201
285	879	2196
286	881	2191
287	884	2186
288	886	2181
289	889	2176
290	891	2172
291	893	2166
292	895	2161
293	897	2156
294	900	2151
295	902	2145
296	904	2139
297	906	2135
298	908	2130
299	910	2124
300	912	2120
301	915	2114
302	916	2109
303	918	2103
304	921	2099
305	923	2094
306	925	2089
307	927	2084
308	929	2079
309	932	2074
310	933	2068
311	935	2063
312	937	2058
313	940	2054
314	942	2049
315	944	2043
316	946	2038
317	948	2033
318	950	2028
319	952	2023
320	954	2019
321	956	2015
322	958	2009
323	960	2004
324	962	1999
325	964	1994
326	966	1988
327	968	1984
328	970	1979
329	972	1974
330	974	1969
331	975	1963
332	977	1958
333	979	1953
334	981	1948
335	983	1943
336	985	1938
337	987	1933
338	989	1929
339	991	1924
340	993	1919
341	995	1914
342	997	1909
343	999	1905
344	1001	1900
345	1003	1896
346	1005	1891
347	1006	1886
348	1008	1881
349	1010	1877
350	1012	1872
351	1014	1867
352	1016	1863
353	1018	1858
354	1020	1854
355	1022	1849
356	1024	1844
357	1026	1840
358	1028	1835
359	1030	1831
360	1032	1827
361	1034	1822
362	1036	1818
363	1037	1813
364	1039	1809
365	1041	1804
366	1043	1800
367	1045	1795
368	1047	1791
369	1049	1786
370	1051	1782
371	1053	1777
372	1054	1773
373	1056	1768
374	1058	1764
375	1060	1759
376	1062	1755
377	1064	1751
378	1066	1746
379	1068	1742
380	1069	1738
381	1071	1734
382	1073	1729
383	1075	1725
384	1077	1721
385	1079	1717
386	1082	1714
387	1084	1709
388	1085	1705
389	1087	1701
390	1089	1697
391	1091	1693
392	1093	1689
393	1095	1685
394	1097	1681
395	1099	1676
396	1101	1672
397	1103	1668
398	1105	1664
399	1106	1660
400	1108	1656
401	1110	1652
402	1112	1648
403	1114	1644
404	1116	1639
405	1118	1635
406	1120	1631
407	1121	1627
408	1123	1624
409	1125	1620
410	1128	1616
411	1129	1612
412	1131	1608
413	1133	1604
414	1135	1600
415	1137	1596
416	1139	1592
417	1141	1589
418	1143	1585
419	1145	1582
420	1147	1578
421	1149	1574
422	1150	1570
423	1152	1566
424	1154	1562
425	1156	1558
426	1158	1555
427	1160	1551
428	1162	1547
429	1164	1543
430	1166	1540
431	1168	1536
432	1170	1533
433	1172	1529
434	1174	1525
435	1176	1521
436	1178	1518
437	1180	1514
438	1182	1510
439	1183	1506
440	1185	1503
441	1187	1499
442	1189	1495
443	1191	1492
444	1193	1488
445	1195	1485
446	1197	1481
447	1199	1478
448	1201	1474
449	1203	1470
450	1205	1467
451	1207	1464
452	1209	1460
453	1211	1456
454	1213	1453
455	1215	1449
456	1217	1446
457	1219	1442
458	1221	1439
459	1223	1436
460	1225	1432
461	1227	1428
462	1228	1425
463	1230	1421
464	1232	1418
465	1234	1414
466	1236	1411
467	1238	1407
468	1240	1404
469	1242	1401
470	1244	1397
471	1246	1394
472	1248	1390
473	1250	1387
474	1252	1384
475	1254	1381
476	1256	1377
477	1258	1374
478	1259	1370
479	1261	1367
480	1263	1363
481	1265	1360
482	1267	1357
483	1270	1354
484	1271	1350
485	1273	1347
486	1275	1343
487	1277	1340
488	1279	1336
489	1281	1334
490	1283	1330
491	1285	1327
492	1287	1324
493	1289	1321
494	1291	1318
495	1293	1314
496	1295	1311
497	1297	1308
498	1299	1305
499	1301	1301
500	1303	1298
501	1305	1295
502	1307	1291
503	1309	1288
504	1311	1285
505	1313	1282
506	1315	1279
507	1317	1276
508	1319	1272
509	1321	1269
510	1323	1266
511	1325	1262
512	1327	1259
513	1329	1256
514	1331	1253
515	1333	1250
516	1334	1247
517	1336	1244
518	1338	1240
519	1340	1237
520	1342	1234
521	1344	1231
522	1346	1228
523	1348	1224
524	1350	1221
525	1352	1218
526	1354	1215
527	1356	1212
528	1357	1209
529	1360	1206
530	1362	1203
531	1363	1199
532	1365	1196
533	1367	1193
534	1369	1190
535	1371	1187
536	1373	1183
537	1375	1180
538	1377	1177
539	1379	1174
540	1381	1171
541	1383	1168
542	1385	1165
543	1386	1162
544	1388	1159
545	1390	1156
546	1393	1153
547	1395	1150
548	1397	1147
549	1399	1144
550	1401	1141
551	1402	1138
552	1404	1135
553	1407	1132
554	1409	1129
555	1411	1126
556	1413	1123
557	1415	1120
558	1416	1117
559	1418	1114
560	1420	1111
561	1422	1108
562	1424	1105
563	1426	1102
564	1428	1099
565	1430	1097
566	1432	1094
567	1434	1091
568	1436	1088
569	1438	1085
570	1441	1082
571	1443	1079
572	1444	1076
573	1446	1073
574	1449	1071
575	1451	1068
576	1453	1065
577	1455	1062
578	1457	1059
579	1459	1056
580	1461	1053
581	1463	1050
582	1465	1047
583	1466	1044
584	1469	1042
585	1471	1039
586	1473	1036
587	1475	1033
588	1476	1030
589	1478	1027
590	1480	1024
591	1482	1021
592	1484	1018
593	1486	1016
594	1488	1013
595	1490	1010
596	1492	1007
597	1494	1004
598	1496	1001
599	1498	998
600	1500	995
601	1502	993
602	1504	990
603	1506	987
604	1508	984
605	1509	981
606	1511	978
607	1513	975
608	1515	973
609	1517	970
610	1519	967
611	1521	964
612	1523	961
613	1525	958
614	1526	955
615	1528	953
616	1530	950
617	1532	947
618	1535	944
619	1536	941
620	1538	939
621	1540	936
622	1542	933
623	1544	930
624	1546	927
625	1549	925
626	1551	922
627	1553	920
628	1555	917
629	1556	914
630	1558	911
631	1560	908
632	1562	906
633	1564	903
634	1566	900
635	1568	897
636	1571	895
637	1572	892
638	1574	889
639	1576	886
640	1578	884
641	1580	881
642	1582	878
643	1584	875
644	1586	873
645	1588	870
646	1590	867
647	1592	864
648	1594	862
649	1596	859
650	1598	857
651	1600	854
652	1603	851
653	1604	849
654	1606	846
655	1608	843
656	1610	841
657	1613	838
658	1615	835
659	1617	833
660	1619	830
661	1621	828
662	1623	825
663	1625	822
664	1628	820
665	1630	817
666	1632	814
667	1634	812
668	1636	809
669	1637	806
670	1639	803
671	1641	801
672	1643	798
673	1645	796
674	1647	793
675	1649	790
676	1651	787
677	1653	785
678	1655	782
679	1657	780
680	1659	777
681	1661	774
682	1663	772
683	1665	769
684	1667	766
685	1669	764
686	1671	761
687	1673	758
688	1675	756
689	1677	753
690	1679	751
691	1681	748
692	1683	745
693	1685	743
694	1687	740
695	1689	737
696	1691	735
697	1693	732
698	1695	730
699	1697	727
700	1699	724
701	1700	722
702	1702	719
703	1705	716
704	1706	714
705	1709	711
706	1711	709
707	1712	706
708	1714	703
709	1716	701
710	1718	698
711	1720	696
712	1722	693
713	1725	690
714	1727	688
715	1728	685
716	1730	683
717	1732	680
718	1734	677
719	1736	675
720	1738	672
721	1740	670
722	1742	667
723	1744	665
724	1746	662
725	1748	659
726	1750	657
727	1752	654
728	1755	652
729	1757	649
730	1759	647
731	1762	645
732	1764	642
733	1766	640
734	1768	637
735	1770	635
736	1773	632
737	1775	630
738	1777	627
739	1780	625
740	1782	623
741	1784	620
742	1786	618
743	1789	615
744	1791	613
745	1793	610
746	1795	608
747	1798	605
748	1800	603
749	1802	600
750	1804	598
751	1806	595
752	1808	593
753	1810	590
754	1812	588
755	1815	585
756	1816	583
757	1819	580
758	1820	578
759	1822	575
760	1824	573
761	1826	570
762	1828	567
763	1830	565
764	1832	563
765	1835	560
766	1836	558
767	1838	555
768	1840	552
769	1842	550
770	1844	547
771	1846	545
772	1848	542
773	1850	540
774	1852	537
775	1854	535
776	1856	532
777	1857	530
778	1859	527
779	1867	526
780	1869	524
781	1872	521
782	1874	519
783	1876	516
784	1878	514
785	1880	511
786	1882	509
787	1884	506
788	1885	504
789	1887	501
790	1889	499
791	1891	496
792	1893	494
793	1895	491
794	1897	489
795	1899	486
796	1901	484
797	1903	481
798	1905	479
799	1907	476
800	1909	474
801	1911	471
802	1913	469
803	1915	466
804	1917	464
805	1919	461
806	1921	459
807	1923	457
808	1925	454
809	1927	452
810	1929	449
811	1931	447
812	1933	444
813	1935	442
814	1937	439
815	1939	437
816	1941	434
817	1943	432
818	1945	429
819	1947	427
820	1949	424
821	1950	422
822	1952	419
823	1955	417
824	1957	415
825	1959	412
826	1961	410
827	1963	407
828	1965	405
829	1967	402
830	1969	400
831	1971	398
832	1973	395
833	1975	393
834	1976	390
835	1978	388
836	1980	385
837	1982	383
838	1984	380
839	1986	378
840	1988	375
841	1990	373
842	1992	371
843	1994	368
844	1996	366
845	1998	363
846	2000	361
847	2002	358
848	2004	356
849	2006	354
850	2008	351
851	2010	349
852	2012	346
853	2014	344
854	2016	341
855	2018	339
856	2020	337
857	2022	334
858	2023	332
859	2025	329
860	2027	327
861	2029	324
862	2031	322
863	2033	320
864	2035	317
865	2037	315
866	2039	312
867	2041	310
868	2042	307
869	2044	305
870	2046	303
871	2048	300
872	2050	298
873	2052	295
874	2054	293
875	2056	291
876	2058	288
877	2060	286
878	2062	283
879	2064	281
880	2066	279
881	2067	276
882	2069	274
883	2071	271
884	2073	269
885	2075	267
886	2076	264
887	2078	262
888	2080	259
889	2082	257
890	2084	255
891	2086	252
892	2088	250
893	2090	247
894	2092	245
895	2094	243
896	2096	240
897	2098	238
898	2100	235
899	2102	233
900	2104	231
901	2105	228
902	2107	226
903	2109	224
904	2111	221
905	2113	219
906	2116	216
907	2117	214
908	2119	212
909	2121	209
910	2123	207
911	2125	205
912	2127	202
913	2129	200
914	2131	197
915	2132	195
916	2134	193
917	2136	190
918	2138	188
919	2140	186
920	2142	183
921	2144	181
922	2146	179
923	2148	176
924	2150	174
925	2152	172
926	2154	169
927	2156	167
928	2158	164
929	2160	162
930	2162	160
931	2164	157
932	2165	155
933	2167	153
934	2169	150
935	2171	148
936	2173	146
937	2175	143
938	2177	141
939	2179	139
940	2181	136
941	2183	134
942	2185	132
943	2187	129
944	2189	127
945	2191	125
946	2193	122
947	2196	120
948	2197	118
949	2199	115
950	2201	113
951	2203	111
952	2205	108
953	2207	106
954	2209	104
955	2211	101
956	2212	99
957	2214	97
958	2216	94
959	2219	92
960	2221	90
961	2223	87
962	2225	85
963	2227	83
964	2229	80
965	2231	78
966	2233	76
967	2235	73
968	2237	71
969	2239	69
970	2241	66
971	2243	64
972	2245	62
973	2247	59
974	2249	57
975	2251	55
976	2253	53
977	2255	50
978	2257	48
979	2259	46
980	2261	43
981	2263	41
982	2265	39
983	2267	36
984	2269	34
985	2271	32
986	2273	29
987	2275	27
988	2277	25
989	2279	23
990	2281	20
991	2282	18
992	2285	16
993	2287	13
994	2289	11
995	2291	9
996	2293	6
997	2295	4
998	2297	2
999	2299	0
